City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
Codrington,AU,-38.2667,141.9667,56.26,79,48,8.48,scattered clouds
Busselton,AU,-33.65,115.3333,54.18,81,56,11.36,broken clouds
Hervey Bay,AU,-25.2986,152.8535,76.26,75,75,4.65,broken clouds
Sampit,ID,-2.5333,112.95,72.1,98,96,0.47,overcast clouds
Barrow,US,71.2906,-156.7887,2.86,85,75,14.99,broken clouds
Fort Payne,US,34.4442,-85.7197,68.61,45,40,13.8,scattered clouds
Gwadar,PK,25.1216,62.3254,76.35,79,0,15.9,light rain
Lakes Entrance,AU,-37.8811,147.981,63.16,94,100,7.85,light rain
Alta Floresta,BR,-9.8756,-56.0861,77.04,92,98,3.38,heavy intensity rain
Albany,US,42.6001,-73.9662,49.17,47,29,5.99,scattered clouds
Novyy Urengoy,RU,66.0833,76.6333,4.55,95,100,4.21,overcast clouds
Hilo,US,19.7297,-155.09,81.28,87,96,11.99,light rain
Chokurdakh,RU,70.6333,147.9167,1.11,93,100,18.97,overcast clouds
Jamestown,US,42.097,-79.2353,47.01,52,94,4.0,overcast clouds
Kapaa,US,22.0752,-159.319,80.1,73,100,5.01,overcast clouds
Poum,NC,-20.2333,164.0167,79.2,77,75,14.41,broken clouds
Rikitea,PF,-23.1203,-134.9692,80.26,75,100,11.7,overcast clouds
Dikson,RU,73.5069,80.5464,-11.9,95,100,12.95,overcast clouds
Uglovskoye,RU,51.3557,80.1942,37.11,86,6,7.7,clear sky
Guantanamo,CU,20.1444,-75.2092,83.77,51,0,11.77,clear sky
Araouane,ML,18.9048,-3.5265,86.77,9,42,11.63,scattered clouds
Punta Arenas,CL,-53.15,-70.9167,42.12,60,20,18.12,few clouds
Omboue,GA,-1.5746,9.2618,78.24,85,100,4.76,overcast clouds
Hermanus,ZA,-34.4187,19.2345,58.8,80,100,11.18,light rain
Kathmandu,NP,27.7167,85.3167,57.83,61,20,3.44,few clouds
Cape Town,ZA,-33.9258,18.4232,64.09,77,75,13.8,light intensity drizzle
Tarsus,TR,36.9188,34.8784,61.18,88,1,5.93,clear sky
Carnarvon,AU,-24.8667,113.6333,75.13,70,98,3.06,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,61.97,75,72,13.29,light rain
Danville,US,36.586,-79.395,65.03,50,96,5.03,overcast clouds
Maldonado,UY,-34.6667,-54.9167,78.46,38,3,4.14,clear sky
Qaanaaq,GL,77.484,-69.3632,-9.2,68,89,5.06,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,84.94,49,0,14.97,clear sky
Isangel,VU,-19.55,169.2667,80.46,79,100,8.48,overcast clouds
Bluff,NZ,-46.6,168.3333,41.81,63,85,10.22,light rain
Upernavik,GL,72.7868,-56.1549,-16.26,92,32,7.99,scattered clouds
Severo-Kurilsk,RU,50.6789,156.125,29.93,78,47,12.08,scattered clouds
Saint-Philippe,RE,-21.3585,55.7679,74.79,68,98,3.76,overcast clouds
Mahebourg,MU,-20.4081,57.7,74.25,78,73,5.68,broken clouds
Cabo San Lucas,MX,22.8909,-109.9124,82.62,54,71,4.0,broken clouds
Port Alfred,ZA,-33.5906,26.891,63.18,76,100,10.0,overcast clouds
Manaus,BR,-3.1019,-60.025,84.69,74,75,10.36,broken clouds
Awassa,ET,7.05,38.4667,60.73,92,99,2.3,light rain
Saint-Georges,GD,12.0564,-61.7485,78.78,70,20,15.21,few clouds
Lebu,CL,-37.6167,-73.65,58.53,64,3,9.8,clear sky
Hobart,AU,-42.8794,147.3294,56.23,98,75,3.44,fog
Myskhako,RU,44.6714,37.7433,47.98,90,98,9.6,overcast clouds
Ushuaia,AR,-54.8,-68.3,36.14,87,97,3.98,light rain
Saldanha,ZA,-33.0117,17.9442,62.26,86,99,20.33,overcast clouds
Hambantota,LK,6.1241,81.1185,77.18,78,23,4.65,few clouds
Nikolskoye,RU,59.7035,30.7861,34.79,98,100,8.1,snow
Tari,NG,12.4086,4.4914,87.64,11,100,9.37,overcast clouds
Khatanga,RU,71.9667,102.5,-9.35,96,100,13.11,overcast clouds
Kapuskasing,CA,49.4169,-82.4331,24.89,74,100,19.57,light snow
Half Moon Bay,US,37.4636,-122.4286,51.91,92,100,6.91,moderate rain
Provideniya,RU,64.3833,-173.3,26.71,93,100,22.37,snow
Tasiilaq,GL,65.6145,-37.6368,1.4,76,0,4.59,clear sky
Katsuura,JP,35.1333,140.3,50.02,83,91,11.01,overcast clouds
Walvis Bay,NA,-22.9575,14.5053,62.8,89,10,6.89,clear sky
Bara,NG,10.3744,10.7288,80.51,11,95,8.03,overcast clouds
Evensk,RU,61.95,159.2333,-1.82,98,84,1.54,broken clouds
Georgetown,MY,5.4112,100.3354,80.53,89,20,0.0,few clouds
Northam,GB,51.0333,-4.2167,53.26,97,100,9.64,overcast clouds
Sarahan,IN,31.5167,77.8,42.73,61,8,7.4,clear sky
