City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zyryanka,RU,2022-12-31 05:58:50,65.75,150.85,-37.19,100,100,4.85
1,Isangel,VU,2022-12-31 05:58:51,-19.55,169.2667,81.45,82,24,14.25
2,Ponta Do Sol,PT,2022-12-31 05:58:51,32.6667,-17.1,69.01,73,93,6.29
3,Busselton,AU,2022-12-31 05:58:52,-33.65,115.3333,76.32,40,100,15.32
4,Chuy,UY,2022-12-31 05:58:52,-33.6971,-53.4616,68.61,70,4,8.63
5,Harper,LR,2022-12-31 05:58:53,4.375,-7.7169,75.34,90,30,3.85
6,Chicama,PE,2022-12-31 05:58:53,-7.8447,-79.1469,64.94,79,99,4.38
7,Mitsamiouli,KM,2022-12-31 05:58:53,-11.3847,43.2844,86.29,62,40,5.75
8,Lagoa,PT,2022-12-31 05:58:54,39.05,-27.9833,53.42,58,99,29.08
9,Goderich,CA,2022-12-31 05:58:54,43.7501,-81.7165,43.12,93,100,4.61
10,Viransehir,TR,2022-12-31 05:58:54,37.2353,39.7631,43.16,38,0,4.03
11,Bambanglipuro,ID,2022-12-31 05:58:55,-7.95,110.2833,83.1,72,57,4.88
12,Vaini,TO,2022-12-31 05:58:55,-21.2,-175.2,80.76,83,75,2.3
13,Ushuaia,AR,2022-12-31 05:58:56,-54.8,-68.3,40.66,75,0,9.22
14,San Policarpo,PH,2022-12-31 05:58:56,12.1791,125.5072,82.38,73,92,6.26
15,Talnakh,RU,2022-12-31 05:58:56,69.4865,88.3972,-21.5,94,40,6.4
16,Yakima,US,2022-12-31 05:58:57,46.4665,-120.6678,34.56,95,97,3.06
17,Geraldton,AU,2022-12-31 05:58:57,-28.7667,114.6,79.21,50,40,21.85
18,Angoche,MZ,2022-12-31 05:58:57,-16.2325,39.9086,82.44,71,98,4.61
19,Luderitz,NA,2022-12-31 05:58:58,-26.6481,15.1594,68.27,68,0,4.47
20,Mataura,NZ,2022-12-31 05:58:58,-46.1927,168.8643,65.48,50,73,5.82
21,Nikolskoye,RU,2022-12-31 05:58:59,59.7035,30.7861,37.29,93,100,8.79
22,Bergama,TR,2022-12-31 05:58:59,39.1207,27.1805,47.77,87,47,2.55
23,Albany,US,2022-12-31 05:58:44,42.6001,-73.9662,41.88,77,93,3.0
24,Srednekolymsk,RU,2022-12-31 05:59:00,67.45,153.6833,-43.85,100,100,2.8
25,Tecpan,GT,2022-12-31 05:59:00,14.7623,-90.9947,51.62,94,51,1.95
26,Puerto Ayora,EC,2022-12-31 05:59:00,-0.7393,-90.3518,72.55,97,59,1.99
27,Hermanus,ZA,2022-12-31 05:59:01,-34.4187,19.2345,67.8,70,10,16.87
28,East London,ZA,2022-12-31 05:59:01,-33.0153,27.9116,67.14,72,0,3.44
29,Moose Jaw,CA,2022-12-31 05:59:01,50.4001,-105.5344,3.45,92,96,0.0
30,Cabo San Lucas,MX,2022-12-31 05:57:43,22.8909,-109.9124,70.52,74,8,6.31
31,Stornoway,GB,2022-12-31 05:59:02,58.2093,-6.3865,33.76,94,75,5.75
32,Edson,CA,2022-12-31 05:59:02,53.5835,-116.4356,10.54,100,75,5.75
33,Zhanakorgan,KZ,2022-12-31 05:59:03,43.9098,67.2495,30.45,74,87,10.09
34,Bosaso,SO,2022-12-31 05:59:03,11.2842,49.1816,75.18,88,100,20.71
35,Qaanaaq,GL,2022-12-31 05:59:04,77.484,-69.3632,-21.24,60,30,7.45
36,Fortuna,US,2022-12-31 05:59:04,40.5982,-124.1573,56.35,95,100,0.0
37,Bredasdorp,ZA,2022-12-31 05:59:05,-34.5322,20.0403,67.78,62,78,14.63
38,Vanimo,PG,2022-12-31 05:59:05,-2.6741,141.3028,82.74,76,95,11.36
39,Rikitea,PF,2022-12-31 05:59:06,-23.1203,-134.9692,78.17,69,69,4.0
40,Hilo,US,2022-12-31 05:59:06,19.7297,-155.09,72.25,92,100,3.44
41,Sur,OM,2022-12-31 05:59:07,22.5667,59.5289,73.35,43,0,7.45
42,Yar-Sale,RU,2022-12-31 05:59:07,66.8333,70.8333,-25.96,100,73,5.01
43,Victoria,HK,2022-12-31 05:59:00,22.2855,114.1577,69.21,62,4,11.99
44,Dinar,TR,2022-12-31 05:59:08,38.065,30.1656,33.76,73,14,1.97
45,Oranjestad,AW,2022-12-31 06:00:08,12.524,-70.027,77.92,90,1,4.0
46,Castro,BR,2022-12-31 06:00:10,-24.7911,-50.0119,58.59,97,12,3.06
47,Naryan-Mar,RU,2022-12-31 06:00:10,67.6713,53.087,0.1,90,42,12.84
48,Show Low,US,2022-12-31 06:00:11,34.2542,-110.0298,38.08,94,100,24.16
49,Iqaluit,CA,2022-12-31 06:00:12,63.7506,-68.5145,-10.35,81,100,6.53
50,Bartlesville,US,2022-12-31 05:57:37,36.7473,-95.9808,40.1,85,100,5.64
51,Macamic,CA,2022-12-31 06:00:14,48.7502,-78.9996,31.64,94,100,6.46
52,Torbay,CA,2022-12-31 06:00:14,47.6666,-52.7314,30.76,86,71,5.01
53,Ligayan,PH,2022-12-31 06:00:15,4.6533,119.4706,80.19,75,97,4.03
54,Pirawa,IN,2022-12-31 06:00:16,24.1551,76.0273,69.44,27,0,8.79
55,Savannah Bight,HN,2022-12-31 06:00:17,16.45,-85.85,79.95,80,5,24.07
56,Cidreira,BR,2022-12-31 06:00:17,-30.1811,-50.2056,69.85,93,0,9.82
57,Bluff,NZ,2022-12-31 06:00:18,-46.6,168.3333,56.39,62,87,15.84
58,Yulara,AU,2022-12-31 06:00:19,-25.2406,130.9889,97.25,23,81,14.58
59,Bambous Virieux,MU,2022-12-31 06:00:19,-20.3428,57.7575,83.21,62,0,5.44
60,Tuktoyaktuk,CA,2022-12-31 06:00:20,69.4541,-133.0374,2.86,96,99,9.89
61,Karratha,AU,2022-12-31 06:00:20,-20.7377,116.8463,94.71,39,65,16.91
62,Mahebourg,MU,2022-12-31 06:00:21,-20.4081,57.7,83.25,63,0,3.89
63,Yellowknife,CA,2022-12-31 05:56:18,62.456,-114.3525,5.52,92,75,11.5
64,Matveyev Kurgan,RU,2022-12-31 06:00:22,47.5645,38.8695,39.83,93,99,7.2
65,Kapaa,US,2022-12-31 06:00:22,22.0752,-159.319,71.58,91,1,7.56
66,Clyde River,CA,2022-12-31 06:00:23,70.4692,-68.5914,-13.65,98,100,4.38
67,Sitka,US,2022-12-31 06:00:24,57.0531,-135.33,39.09,93,100,6.91
68,Avarua,CK,2022-12-31 06:00:25,-21.2078,-159.775,77.13,82,100,9.6
69,Matay,EG,2022-12-31 06:00:25,28.419,30.7792,54.3,82,23,9.26
70,Letovice,CZ,2022-12-31 06:00:26,49.5471,16.5736,40.68,90,100,8.23
71,Plymouth,US,2022-12-31 05:57:10,41.8334,-70.8328,48.87,85,83,9.17
72,Verkhnevilyuysk,RU,2022-12-31 06:00:26,63.4453,120.3167,1.13,94,100,7.76
73,Half Moon Bay,US,2022-12-31 06:00:27,37.4636,-122.4286,62.01,94,100,16.11
74,Kodiak,US,2022-12-31 06:00:28,57.79,-152.4072,38.14,93,100,22.68
75,Hobart,AU,2022-12-31 06:00:09,-42.8794,147.3294,82.27,61,20,18.41
76,Cape Town,ZA,2022-12-31 05:55:36,-33.9258,18.4232,72.12,53,0,13.0
77,Cap Malheureux,MU,2022-12-31 06:00:29,-19.9842,57.6142,83.46,59,0,3.0
78,Remanso,BR,2022-12-31 06:00:30,-9.6179,-42.0831,75.45,63,51,8.39
79,Tazovskiy,RU,2022-12-31 06:00:30,67.4667,78.7,-23.44,94,13,7.38
80,Nobres,BR,2022-12-31 06:00:31,-14.7203,-56.3275,73.56,95,99,3.78
81,Camacha,PT,2022-12-31 06:00:32,33.0833,-16.3333,63.82,88,20,12.66
82,Eureka,US,2022-12-31 06:00:32,40.8021,-124.1637,56.68,97,100,7.0
83,Kyra,RU,2022-12-31 06:00:32,49.5776,111.9753,8.11,71,3,6.78
84,Banjar,ID,2022-12-31 06:00:33,-8.19,114.9675,80.89,88,97,10.45
85,Isla Vista,US,2022-12-31 06:00:33,34.4133,-119.861,60.35,92,100,0.0
86,Haines Junction,CA,2022-12-31 06:00:34,60.7522,-137.5108,5.38,98,100,0.63
87,Leshukonskoye,RU,2022-12-31 06:00:34,64.8989,45.7622,5.92,94,86,8.57
88,Saskylakh,RU,2022-12-31 06:00:35,71.9167,114.0833,2.75,94,100,25.23
89,Taboga,IT,2022-12-31 06:00:35,46.2663,13.1092,49.82,83,100,0.81
90,Bengkulu,ID,2022-12-31 06:00:35,-3.8004,102.2655,82.45,74,98,15.39
91,Punta Arenas,CL,2022-12-31 06:01:36,-53.15,-70.9167,44.11,75,99,4.88
92,Panguna,PG,2022-12-31 06:01:36,-6.3164,155.4848,78.69,63,91,2.66
93,Zdvinsk,RU,2022-12-31 06:01:37,54.7021,78.661,3.9,95,100,3.94
94,Cururupu,BR,2022-12-31 06:01:37,-1.8283,-44.8683,73.8,96,88,2.13
95,Saint-Philippe,RE,2022-12-31 06:01:38,-21.3585,55.7679,81.99,75,50,3.74
96,Coihaique,CL,2022-12-31 05:58:31,-45.5752,-72.0662,54.21,87,75,4.61
97,Barrow,US,2022-12-31 06:01:38,71.2906,-156.7887,1.42,85,100,12.66
98,Caravelas,BR,2022-12-31 06:01:39,-17.7125,-39.2481,72.32,93,25,4.23
99,Port Elizabeth,ZA,2022-12-31 06:01:39,-33.918,25.5701,70.32,68,36,5.01
100,Nanortalik,GL,2022-12-31 06:01:39,60.1432,-45.2371,12.38,83,35,8.79
101,Manakara,MG,2022-12-31 06:01:40,-22.1333,48.0167,83.07,58,0,4.9
102,Atuona,PF,2022-12-31 05:56:56,-9.8,-139.0333,78.21,70,11,18.34
103,Severo-Kurilsk,RU,2022-12-31 06:01:40,50.6789,156.125,25.21,82,70,15.75
104,Hanmer Springs,NZ,2022-12-31 06:01:41,-42.5167,172.8167,61.21,57,19,5.99
105,Fare,PF,2022-12-31 06:01:41,-16.7,-151.0167,81.14,75,56,12.59
106,Hervey Bay,AU,2022-12-31 06:01:42,-25.2986,152.8535,77.38,69,42,19.44
107,Leningradskiy,RU,2022-12-31 06:01:42,69.3833,178.4167,-29.2,96,86,7.45
108,Qeshm,IR,2022-12-31 06:01:43,26.9581,56.2719,66.07,33,91,10.47
109,Carutapera,BR,2022-12-31 06:01:43,-1.195,-46.02,75.56,90,97,3.58
110,Olinda,BR,2022-12-31 06:01:43,-8.0089,-34.8553,80.33,69,40,10.36
111,Hambantota,LK,2022-12-31 06:01:44,6.1241,81.1185,84.54,70,20,12.66
112,Tasiilaq,GL,2022-12-31 06:01:44,65.6145,-37.6368,5.16,58,6,7.7
113,Lorengau,PG,2022-12-31 06:01:45,-2.0226,147.2712,83.17,78,95,8.34
114,Paamiut,GL,2022-12-31 06:01:45,61.994,-49.6678,4.35,83,26,9.46
